salinity,turbidity,ORP,PH,TDS,Pressure in,Pressure out,pump current,Human Counter,temperature,water level,Human Diff
285.584,6.53613,788.607,7.46826,285.584,2.53725,2.53545,0.0,0.0,74.2574,500.0,0.0
285.638,6.37939,788.879,7.46067,285.638,2.5378,2.53617,0.0,0.0,74.2574,500.0,0.0
285.855,5.75244,788.336,7.42585,285.873,2.5387,2.53743,0.0,0.0,74.2574,500.0,0.0
285.855,5.5957,788.065,7.43408,285.855,2.53852,2.53743,0.0,0.0,74.2574,500.0,0.0
285.765,5.5957,788.879,7.43345,285.765,2.5387,2.53725,0.0,0.0,74.2574,500.0,0.0
286.036,5.12549,788.698,7.43345,286.036,2.53942,2.53798,5.233e-05,0.0,74.2574,500.0,0.0
286.09,5.28223,788.517,7.42965,286.09,2.53961,2.53816,0.0,0.0,74.2574,500.0,0.0
286.036,5.12549,788.607,7.43028,286.036,2.53961,2.53798,0.0,0.0,74.2574,500.0,0.0
286.072,5.12549,788.427,7.43282,286.072,2.53942,2.53816,0.0,0.0,74.2574,500.0,0.0
286.09,5.12549,788.788,7.42522,286.09,2.53961,2.5378,0.0,0.0,74.2574,500.0,0.0
286.09,4.96875,788.336,7.43282,286.09,2.53942,2.5378,0.0,0.0,74.2574,500.0,0.0
286.108,4.49854,788.065,7.467,286.108,2.53961,2.53798,0.0,0.0,74.2574,500.0,0.0
286.126,4.81201,788.517,7.42206,286.126,2.53961,2.53798,0.0,0.0,74.2574,500.0,0.0
286.108,4.81201,788.246,7.46889,286.108,2.53689,2.53599,0.0,0.0,74.2574,500.0,0.0
285.62,6.06592,788.336,7.43345,285.62,2.53707,2.53545,0.0,0.0,74.2574,500.0,0.0
285.584,5.90918,787.974,7.46889,285.584,2.53707,2.53508,0.0,0.0,74.2574,500.0,0.0
285.891,5.43896,787.974,7.42775,285.891,2.53888,2.53725,0.0,0.0,74.2574,500.0,0.0
285.855,5.43896,788.065,7.43535,285.855,2.53852,2.53743,0.0,0.0,74.2574,500.0,0.0
285.801,5.12549,788.698,7.43155,285.801,2.53834,2.53725,0.0,0.0,74.2574,500.0,0.0
286.036,4.96875,788.246,7.42269,286.036,2.53942,2.53798,0.0,0.0,74.2574,500.0,0.0
286.036,5.28223,787.884,7.47459,286.036,2.53979,2.53834,0.0,0.0,74.2574,500.0,0.0
286.0,4.81201,788.246,7.44864,286.0,2.53979,2.53816,0.0,0.0,74.2574,500.0,0.0
286.036,4.65527,788.065,7.43028,286.036,2.53961,2.53816,0.0,0.0,74.2574,500.0,0.0
286.018,4.96875,787.613,7.42649,286.018,2.53979,2.53816,0.0,0.0,74.2574,500.0,0.0
286.054,4.65527,787.522,7.43218,286.054,2.53979,2.53798,0.0,0.0,74.2574,500.0,0.0
286.09,4.65527,787.613,7.42965,286.09,2.53961,2.53798,0.0,0.0,74.2574,500.0,0.0
286.09,4.81201,787.974,7.43282,286.09,2.53961,2.53834,0.0,0.0,74.2574,500.0,0.0
285.439,6.53613,787.974,7.42775,285.439,2.53653,2.53472,0.0,0.0,74.2574,500.0,0.0
285.53,6.37939,787.884,7.42459,285.53,2.53689,2.53545,0.0,0.0,74.2574,500.0,0.0
285.548,6.06592,787.703,7.42649,285.548,2.53689,2.53508,0.0,0.0,74.2574,500.0,0.0
285.475,5.90918,788.336,7.42839,285.475,2.53762,2.53653,0.0,0.0,74.2574,500.0,0.0
285.873,5.43896,788.065,7.42712,285.873,2.53852,2.53671,0.0,0.0,74.2574,500.0,0.0
285.964,5.43896,788.246,7.44231,285.964,2.53852,2.53707,0.0,0.0,74.2574,500.0,0.0
286.09,4.96875,788.246,7.45624,286.09,2.53961,2.53798,0.0,0.0,74.2574,500.0,0.0
286.09,4.65527,787.794,7.43282,286.09,2.53961,2.53834,0.0,0.0,74.2574,500.0,0.0
286.054,4.81201,788.698,7.43345,286.054,2.53942,2.53816,0.0,0.0,74.2574,500.0,0.0
286.126,5.12549,788.607,7.43218,286.126,2.53979,2.53816,0.0,0.0,74.2574,500.0,0.0
286.199,4.96875,788.607,7.42902,286.199,2.53942,2.53834,0.0,0.0,74.2574,500.0,0.0
286.126,5.43896,787.703,7.43155,286.126,2.53979,2.53798,0.0,0.0,74.2574,500.0,0.0
286.235,5.12549,787.884,7.43028,286.235,2.53924,2.53816,0.0,0.0,74.2574,500.0,0.0
286.162,5.28223,787.613,7.43282,286.162,2.53997,2.53816,0.0,0.0,74.2574,500.0,0.0
286.217,4.96875,787.703,7.42902,286.217,2.53961,2.53798,0.0,0.0,74.2574,500.0,0.0
285.584,6.84961,787.974,7.42902,285.584,2.53743,2.53563,0.0,0.0,74.2574,500.0,0.0
285.71,5.75244,787.974,7.43408,285.71,2.53707,2.53563,0.0,0.0,74.2574,500.0,0.0
285.765,6.53613,788.065,7.42712,285.765,2.53798,2.53671,0.0,0.0,74.2574,500.0,0.0
286.144,5.75244,787.884,7.43408,286.144,2.5387,2.53689,0.0,0.0,74.2574,500.0,0.0
286.126,5.43896,787.884,7.4632,286.126,2.5387,2.53743,0.0,0.0,74.2574,500.0,0.0
286.162,5.75244,788.246,7.44611,286.162,2.5387,2.53743,0.0,0.0,74.2574,500.0,0.0
286.271,4.3418,787.794,7.42712,286.271,2.53942,2.53816,0.0,0.0,74.2574,500.0,0.0
286.398,4.81201,787.974,7.45054,286.398,2.53961,2.53834,0.0,0.0,74.2574,500.0,0.0
286.398,4.96875,788.065,7.43092,286.398,2.53961,2.53852,0.0,0.0,74.2574,500.0,0.0
286.307,4.49854,787.884,7.43155,286.307,2.53979,2.53798,0.0,0.0,74.2574,500.0,0.0
286.289,4.65527,788.336,7.43598,286.289,2.53924,2.53816,0.0,0.0,74.2574,500.0,0.0
286.144,5.12549,787.884,7.42712,286.144,2.53979,2.53798,5.233e-05,0.0,74.2574,500.0,0.0
286.126,4.49854,788.336,7.43155,286.126,2.53979,2.53798,0.0,0.0,74.2574,500.0,0.0
285.982,5.12549,787.974,7.42712,285.982,2.53961,2.5378,0.0,0.0,74.2574,500.0,0.0
285.511,6.37939,788.246,7.42775,285.511,2.53707,2.53508,0.0,0.0,74.2574,500.0,0.0
285.457,6.37939,787.884,7.42775,285.457,2.53725,2.53563,0.0,0.0,74.2574,500.0,0.0
285.475,6.53613,788.065,7.43282,285.475,2.53798,2.53635,0.0,0.0,74.2574,500.0,0.0
285.747,5.5957,787.794,7.43345,285.747,2.53888,2.53689,0.0,0.0,74.2574,500.0,0.0
285.692,5.43896,787.884,7.44991,285.692,2.53888,2.53689,0.0,0.0,74.2574,500.0,0.0
285.728,5.90918,787.884,7.4537,285.728,2.53852,2.53707,0.0,0.0,74.2574,500.0,0.0
285.891,4.81201,788.155,7.43282,285.891,2.53979,2.53816,0.0,0.0,74.2574,500.0,0.0
285.945,4.65527,787.974,7.43851,285.945,2.53979,2.53816,0.0,0.0,74.2574,500.0,0.0
285.873,4.65527,787.432,7.42965,285.873,2.53997,2.5387,0.0,0.0,74.2574,500.0,0.0
285.982,4.96875,788.246,7.42902,285.982,2.53924,2.53816,0.0,0.0,74.2574,500.0,0.0
285.891,4.81201,787.974,7.43282,285.891,2.53979,2.53798,0.0,0.0,74.2574,500.0,0.0
285.891,4.65527,788.155,7.43092,285.891,2.53979,2.53762,0.0,0.0,74.2574,500.0,0.0
285.927,4.81201,788.155,7.42775,285.927,2.53961,2.53816,0.0,0.0,74.2574,500.0,0.0
285.873,4.81201,787.794,7.43028,285.873,2.53961,2.53816,0.0,0.0,74.2574,500.0,0.0
285.312,6.69287,787.703,7.42775,285.312,2.53725,2.53563,0.0,0.0,74.2574,500.0,0.0
285.511,6.22266,787.522,7.45624,285.511,2.53689,2.53545,0.0,0.0,74.2574,500.0,0.0
285.385,6.22266,787.794,7.43472,285.385,2.53653,2.53545,0.0,0.0,74.2574,500.0,0.0
285.765,5.75244,788.336,7.42585,285.765,2.53834,2.53725,0.0,0.0,74.2574,500.0,0.0
285.747,5.75244,787.884,7.44991,285.747,2.53852,2.53743,0.0,0.0,74.2574,500.0,0.0
285.71,5.12549,788.155,7.43092,285.71,2.5387,2.53671,0.0,0.0,74.2574,500.0,0.0
285.964,5.12549,787.07,7.42585,285.964,2.53979,2.53798,0.0,0.0,74.2574,500.0,0.0
285.909,4.96875,788.427,7.44168,285.909,2.53979,2.5378,0.0,0.0,74.2574,500.0,0.0
285.964,4.96875,787.884,7.43472,285.982,2.53979,2.53798,0.0,0.0,74.2574,500.0,0.0
285.945,4.96875,787.794,7.42649,285.945,2.53942,2.53816,0.0,0.0,74.2574,500.0,0.0
285.964,4.65527,787.613,7.42965,285.964,2.53997,2.53816,0.0,0.0,74.2574,500.0,0.0
285.982,4.65527,787.884,7.43155,285.982,2.53961,2.53798,0.0,0.0,74.2574,500.0,0.0
285.945,4.96875,787.613,7.42459,285.945,2.53979,2.53816,0.0,0.0,74.2574,500.0,0.0
285.964,4.96875,787.342,7.44358,285.964,2.53961,2.53834,0.0,0.0,74.2574,500.0,0.0
285.475,6.06592,787.342,7.44864,285.457,2.53725,2.53545,0.0,0.0,74.2574,500.0,0.0
285.475,6.37939,787.884,7.43408,285.475,2.53689,2.53545,0.0,0.0,74.2574,500.0,0.0
285.421,6.06592,787.522,7.42395,285.421,2.53762,2.53635,0.0,0.0,74.2574,500.0,0.0
285.728,5.43896,788.065,7.42712,285.728,2.53852,2.53725,0.0,0.0,74.2574,500.0,0.0
285.783,5.75244,787.613,7.43408,285.783,2.53852,2.53743,0.0,0.0,74.2574,500.0,0.0
285.801,5.5957,787.432,7.42902,285.801,2.5387,2.53689,0.0,0.0,74.2574,500.0,0.0
286.018,5.43896,787.07,7.43535,286.018,2.53942,2.53834,0.0,0.0,74.2574,500.0,0.0
285.964,4.65527,787.613,7.43408,285.964,2.53979,2.53816,0.0,0.0,74.2574,500.0,0.0
286.036,5.12549,787.432,7.43282,286.036,2.53942,2.53798,0.0,0.0,74.2574,500.0,0.0
286.0,4.96875,787.522,7.43282,286.0,2.53924,2.53834,0.0,0.0,74.2574,500.0,0.0
286.036,4.96875,787.432,7.44801,286.036,2.53979,2.53816,0.0,0.0,74.2574,500.0,0.0
286.036,4.81201,787.251,7.45877,286.036,2.53961,2.53834,0.0,0.0,74.2574,500.0,0.0
286.054,4.81201,787.613,7.42965,286.054,2.54015,2.53798,0.0,0.0,74.2574,500.0,0.0
286.09,4.65527,787.703,7.43408,286.09,2.54015,2.53816,0.0,0.0,74.2574,500.0,0.0
286.072,4.65527,787.07,7.42775,286.072,2.53979,2.5378,0.0,0.0,74.2574,500.0,0.0
285.584,6.22266,786.98,7.42902,285.584,2.53707,2.53545,0.0,0.0,74.2574,500.0,0.0
285.457,6.06592,786.98,7.42839,285.475,2.53689,2.53545,0.0,0.0,74.2574,500.0,0.0
285.367,6.37939,787.251,7.43028,285.367,2.5378,2.53653,0.0,0.0,74.2574,500.0,0.0
285.457,5.5957,787.522,7.42775,285.457,2.53834,2.53707,0.0,0.0,74.2574,500.0,0.0
285.331,5.5957,787.342,7.4537,285.331,2.5387,2.53743,0.0,0.0,74.2574,500.0,0.0
285.168,5.5957,786.889,7.43155,285.168,2.53834,2.53689,0.0,0.0,74.2574,500.0,0.0
285.331,4.96875,787.251,7.45434,285.331,2.53942,2.53798,5.233e-05,0.0,74.2574,500.0,0.0
285.312,4.81201,787.251,7.43345,285.312,2.53942,2.53816,0.0,0.0,74.2574,500.0,0.0
285.204,5.12549,787.251,7.43028,285.204,2.53979,2.53816,0.0,0.0,74.2574,500.0,0.0
285.186,4.96875,787.251,7.43155,285.186,2.53942,2.5378,5.233e-05,0.0,74.2574,500.0,0.0
285.186,4.96875,787.613,7.43155,285.186,2.53961,2.5378,0.0,0.0,74.2574,500.0,0.0
285.132,4.96875,787.432,7.43155,285.132,2.53961,2.53798,0.0,0.0,74.2574,500.0,0.0
285.114,4.81201,787.703,7.42839,285.114,2.53942,2.53816,0.0,0.0,74.2574,500.0,0.0
285.186,5.12549,787.884,7.42712,285.186,2.53942,2.53798,0.0,0.0,74.2574,500.0,0.0
285.059,4.81201,787.522,7.43028,285.059,2.53942,2.53816,0.0,0.0,74.2574,500.0,0.0
284.607,6.37939,787.432,7.42649,284.607,2.53707,2.53563,0.0,0.0,74.2574,500.0,0.0
284.517,6.37939,787.794,7.42965,284.517,2.53707,2.53563,0.0,0.0,74.2574,500.0,0.0
284.716,5.5957,787.794,7.42965,284.716,2.53762,2.53635,0.0,0.0,74.2574,500.0,0.0
284.806,4.96875,787.613,7.43472,284.824,2.53852,2.53689,0.0,0.0,74.2574,500.0,0.0
284.842,5.43896,787.522,7.42839,284.842,2.53942,2.53689,0.0,0.0,74.2574,500.0,0.0
284.806,5.43896,787.703,7.43535,284.806,2.5387,2.53707,0.0,0.0,74.2574,500.0,0.0
285.041,4.81201,787.794,7.43725,285.041,2.53942,2.53798,0.0,0.0,74.2574,500.0,0.0
284.969,4.96875,787.432,7.43535,284.969,2.53979,2.53816,0.0,0.0,74.2574,500.0,0.0
285.059,5.12549,787.251,7.42965,285.059,2.53906,2.53816,0.0,0.0,74.2574,500.0,0.0
285.005,4.81201,787.703,7.44991,285.005,2.53942,2.53798,0.0,0.0,74.2574,500.0,0.0
285.005,4.96875,787.703,7.43788,285.005,2.53961,2.53798,0.0,0.0,74.2574,500.0,0.0
284.951,5.28223,787.613,7.42459,284.951,2.54015,2.53834,0.0,0.0,74.2574,500.0,0.0
284.951,4.65527,787.342,7.42649,284.951,2.53942,2.53816,0.0,0.0,74.2574,500.0,0.0
284.915,4.49854,787.432,7.44358,284.915,2.53942,2.53816,0.0,0.0,74.2574,500.0,0.0
284.987,4.81201,787.613,7.43155,284.987,2.53979,2.53834,0.0,0.0,74.2574,500.0,0.0
284.463,5.90918,787.522,7.4575,284.463,2.53743,2.53563,0.0,0.0,74.2574,500.0,0.0
284.426,6.06592,787.613,7.46193,284.426,2.53689,2.53545,0.0,0.0,74.2574,500.0,0.0
284.499,6.22266,787.974,7.46193,284.499,2.53798,2.53635,0.0,0.0,74.2574,500.0,0.0
284.788,5.5957,787.703,7.43218,284.788,2.53852,2.53689,0.0,0.0,74.2574,500.0,0.0
284.734,5.90918,787.432,7.44358,284.734,2.53852,2.53725,0.0,0.0,74.2574,500.0,0.0
284.824,5.75244,787.974,7.42649,284.824,2.5387,2.53689,0.0,0.0,74.2574,500.0,0.0
284.987,4.81201,787.974,7.43028,284.987,2.53979,2.5387,0.0,0.0,74.2574,500.0,0.0
285.023,5.28223,787.522,7.43218,285.023,2.53942,2.5378,0.0,0.0,74.2574,500.0,0.0
284.933,4.96875,787.974,7.45813,284.933,2.53961,2.5378,0.0,0.0,74.2574,500.0,0.0
284.987,5.12549,787.884,7.42902,284.987,2.53997,2.53816,0.0,0.0,74.2574,500.0,0.0
284.951,4.96875,787.884,7.43092,284.969,2.53906,2.53798,0.0,0.0,74.2574,500.0,0.0
285.023,4.96875,787.884,7.45181,285.023,2.53979,2.53798,0.0,0.0,74.2574,500.0,0.0
284.951,4.81201,787.522,7.42902,284.951,2.53979,2.5378,0.0,0.0,74.2574,500.0,0.0
284.915,4.81201,787.794,7.42839,284.915,2.53942,2.5378,5.233e-05,0.0,74.2574,500.0,0.0
284.951,5.12549,787.522,7.43155,284.951,2.53942,2.53798,0.0,0.0,74.2574,500.0,0.0
284.426,6.69287,787.613,7.4613,284.426,2.53707,2.53563,0.0,0.0,74.2574,500.0,0.0
284.481,6.06592,787.794,7.45244,284.481,2.53689,2.53526,0.0,0.0,74.2574,500.0,0.0
284.463,6.53613,788.065,7.4632,284.463,2.53725,2.53545,0.0,0.0,74.2574,500.0,0.0
284.661,5.5957,787.884,7.44548,284.661,2.53852,2.53689,0.0,0.0,74.2574,500.0,0.0
284.806,5.5957,787.794,7.42395,284.806,2.53888,2.53689,0.0,0.0,74.2574,500.0,0.0
284.716,5.43896,788.065,7.43092,284.716,2.53888,2.53707,0.0,0.0,74.2574,500.0,0.0
285.023,5.43896,787.884,7.44864,284.969,2.53979,2.53816,0.0,0.0,74.2574,500.0,0.0
284.987,4.65527,788.336,7.42395,284.987,2.53942,2.53834,0.0,0.0,74.2574,500.0,0.0
285.005,5.12549,787.613,7.42902,285.005,2.53924,2.53816,5.233e-05,0.0,74.2574,500.0,0.0
284.987,4.65527,787.613,7.42965,284.987,2.53979,2.53834,0.0,0.0,74.2574,500.0,0.0
285.005,5.12549,788.065,7.43028,285.005,2.53942,2.53816,0.0,0.0,74.2574,500.0,0.0
285.005,4.81201,787.884,7.42965,285.005,2.53961,2.53798,0.0,0.0,74.2574,500.0,0.0
284.915,4.81201,788.336,7.43155,284.878,2.53961,2.53798,0.0,0.0,74.2574,500.0,0.0
284.969,4.96875,787.794,7.42395,284.969,2.53942,2.53816,0.0,0.0,74.2574,500.0,0.0
285.005,4.81201,788.427,7.42079,285.005,2.53979,2.53816,0.0,0.0,74.2574,500.0,0.0
284.372,6.84961,787.794,7.44548,284.372,2.53653,2.53508,0.0,0.0,74.2574,500.0,0.0
284.517,6.37939,787.703,7.4556,284.517,2.53725,2.53563,0.0,0.0,74.2574,500.0,0.0
284.463,6.37939,788.517,7.42395,284.481,2.53689,2.53526,0.0,0.0,74.2574,500.0,0.0
284.444,6.22266,788.065,7.43218,284.444,2.53798,2.53635,0.0,0.0,74.2574,500.0,0.0
284.752,5.43896,788.065,7.42839,284.752,2.5387,2.53707,0.0,0.0,74.2574,500.0,0.0
284.752,5.28223,788.155,7.46193,284.752,2.53852,2.53743,0.0,0.0,74.2574,500.0,0.0
284.788,5.90918,788.336,7.42712,284.788,2.53997,2.53834,0.0,0.0,74.2574,500.0,0.0
284.987,5.28223,787.794,7.43472,284.987,2.53979,2.53798,0.0,0.0,74.2574,500.0,0.0
285.041,4.96875,788.155,7.42775,285.041,2.53997,2.53816,0.0,0.0,74.2574,500.0,0.0
285.041,4.81201,787.974,7.42585,285.041,2.53924,2.5387,0.0,0.0,74.2574,500.0,0.0
284.969,4.65527,788.065,7.42965,284.969,2.53961,2.53798,0.0,0.0,74.2574,500.0,0.0
285.005,4.65527,788.607,7.43155,285.005,2.53979,2.53798,0.0,0.0,74.2574,500.0,0.0
284.933,4.65527,788.336,7.43282,284.933,2.53997,2.53798,0.0,0.0,74.2574,500.0,0.0
285.023,4.65527,788.336,7.42965,284.987,2.53961,2.53798,0.0,0.0,74.2574,500.0,0.0
285.005,4.65527,788.065,7.42965,285.005,2.53979,2.53816,5.233e-05,0.0,74.2574,500.0,0.0
284.969,5.43896,787.703,7.42965,284.969,2.53961,2.53852,0.0,0.0,74.2574,500.0,0.0
284.426,6.37939,787.884,7.42839,284.426,2.53762,2.53545,0.0,0.0,74.2574,500.0,0.0
284.535,6.37939,787.794,7.43218,284.535,2.53689,2.53545,0.0,0.0,74.2574,500.0,0.0
284.517,6.22266,788.246,7.44927,284.517,2.53689,2.53526,0.0,0.0,74.2574,500.0,0.0
284.86,5.28223,788.336,7.42269,284.897,2.53852,2.53689,0.0,0.0,74.2574,500.0,0.0
284.824,5.5957,788.427,7.44358,284.824,2.53924,2.53725,0.0,0.0,74.2574,500.0,0.0
284.806,5.5957,788.246,7.42522,284.806,2.5387,2.53671,0.0,0.0,74.2574,500.0,0.0
284.987,4.65527,787.974,7.43155,284.987,2.53924,2.53834,0.0,0.0,74.2574,500.0,0.0
285.005,4.65527,787.974,7.45307,285.005,2.53942,2.5378,0.0,0.0,74.2574,500.0,0.0
284.951,5.12549,788.065,7.42649,284.987,2.53942,2.53834,0.0,0.0,74.2574,500.0,0.0
285.023,5.28223,788.065,7.45434,285.023,2.53942,2.53816,0.0,0.0,74.2574,500.0,0.0
284.951,5.28223,788.155,7.45813,284.951,2.53997,2.5378,0.0,0.0,74.2574,500.0,0.0
285.023,5.28223,788.607,7.42395,285.023,2.53924,2.5378,0.0,0.0,74.2574,500.0,0.0
285.005,5.12549,787.794,7.43218,285.005,2.53979,2.53816,0.0,0.0,74.2574,500.0,0.0
284.951,5.43896,788.065,7.4537,284.951,2.53979,2.53816,0.0,0.0,74.2574,500.0,0.0
284.969,4.96875,787.884,7.42902,284.951,2.53961,2.53834,0.0,0.0,74.2574,500.0,0.0
284.897,4.81201,787.884,7.43155,284.897,2.53653,2.53472,0.0,0.0,74.2574,500.0,0.0
284.463,6.06592,788.246,7.43535,284.463,2.53689,2.53508,0.0,0.0,74.2574,500.0,0.0
